QUERY,TREND_ONSET_DATE,PEAK_IMPRESSIONS,SPIKE_RATIO,HEADLINE,GAP_HOURS,MATCH_SCORE,GAP_STATUS
city council vote,2026-05-29,150000,4.2,"City Council Approves Downtown Redevelopment Plan in Late-Night Session",-96.0,0.143,ahead_of_trend
school board election,2026-05-29,80000,3.6,"Three Candidates Emerge for Open School Board Seat",-48.0,0.111,ahead_of_trend
state fair tickets,2026-05-29,60000,5.1,"State Fair Tickets Go On Sale Next Week, Prices Up Slightly",-24.0,0.182,within_3_days
mayor press conference,2026-05-29,45000,3.8,"Mayor Outlines Budget Priorities Ahead of Council Vote",-6.0,0.250,same_day_before
local election results,2026-05-29,40000,4.5,"Tuesday's Election Results: Three Incumbents Hold Seats",12.0,0.200,within_24h
transit strike update,2026-05-29,35000,6.2,"Transit Workers Reach Tentative Agreement After 12-Hour Negotiations",36.0,0.091,within_3_days
zoning meeting,2026-05-29,25000,3.4,"Planning Commission Tables Decision on West Side Rezoning",96.0,0.125,within_week
restaurant week,2026-05-29,20000,4.0,,,,no_coverage
food truck festival,2026-05-29,18000,3.7,,,,no_coverage
playoff schedule,2026-05-29,15000,5.5,,,,no_coverage
weather forecast weekend,2026-05-29,12000,3.9,,,,no_coverage
high school graduation,2026-05-29,10000,4.3,,,,no_coverage
